what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1465982182546
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1465982182609
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1465982182828
opened,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1465982183406
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1465982183453
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1465982183515
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1465982183718
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1465982184078
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1465982184343
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1465982185750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982190593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982208140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982211546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982219906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982225453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982244390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982247296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982249703
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1465982249703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982255093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982261859
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1465982262281
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1465982262390
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1465982263203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1465982264078
